student,type,id,value,group,label
ctrlC_ref_s1,ctrlC_ref,gsm8k-146,-0.39279360108819156,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-147,-0.6038399784255344,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-148,-0.7918845686877989,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-149,-0.6507057869390442,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-15,-0.6224763042900967,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-150,-0.2677262574013814,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-151,-0.6851958917051473,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-152,-0.6113468430918363,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-153,-0.3884212589536088,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-154,-0.2788562119240762,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-155,-0.37093797494863096,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-156,-0.29748263017306265,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-157,-0.5932793870811399,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-158,-1.0433366734954321,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-159,-1.3989085562271262,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-16,-0.9004228571189474,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-160,-0.7440063057234023,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-161,-0.5312127058406638,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-162,-0.7350114102560561,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-163,-0.5070993902743299,non-distilled control,Human-ref control
ctrlC_ref_s1,ctrlC_ref,gsm8k-164,-0.6320626505639615,non-distilled control,Human-ref control
