threshold,fpr,tpr,stratum,method
0.27915115397849616,0.0016666666666666668,0.022222222222222223,all distilled,CML
0.27818113016530355,0.0016666666666666668,0.02277777777777778,all distilled,CML
0.2773528391918746,0.0016666666666666668,0.023333333333333334,all distilled,CML
0.2766746876103132,0.0016666666666666668,0.02388888888888889,all distilled,CML
0.2672743014807908,0.0016666666666666668,0.024444444444444446,all distilled,CML
0.2652902762297063,0.0016666666666666668,0.025,all distilled,CML
0.26378023248585003,0.0016666666666666668,0.025555555555555557,all distilled,CML
0.2626741287206714,0.0016666666666666668,0.026111111111111113,all distilled,CML
0.26184166753629645,0.0016666666666666668,0.02666666666666667,all distilled,CML
0.2605948987228209,0.0016666666666666668,0.02722222222222222,all distilled,CML
0.25989596543908605,0.0016666666666666668,0.027777777777777776,all distilled,CML
0.2589298335967991,0.0016666666666666668,0.028333333333333332,all distilled,CML
0.2579861089385017,0.0016666666666666668,0.028888888888888888,all distilled,CML
0.2556230714867415,0.0016666666666666668,0.029444444444444443,all distilled,CML
0.2554033578867016,0.0016666666666666668,0.03,all distilled,CML
0.2524705653561467,0.0016666666666666668,0.030555555555555555,all distilled,CML
0.2517937737744142,0.0016666666666666668,0.03111111111111111,all distilled,CML
0.24941575632058643,0.0016666666666666668,0.03166666666666667,all distilled,CML
0.24675539415475517,0.0016666666666666668,0.03222222222222222,all distilled,CML
0.24605205607034375,0.0016666666666666668,0.03277777777777778,all distilled,CML
0.24449576018288763,0.0016666666666666668,0.03333333333333333,all distilled,CML
0.24360174497053413,0.0016666666666666668,0.03388888888888889,all distilled,CML
0.24286961757879652,0.0016666666666666668,0.034444444444444444,all distilled,CML
0.2378626135357973,0.0016666666666666668,0.035,all distilled,CML
0.23297331788257464,0.0016666666666666668,0.035555555555555556,all distilled,CML
0.2328217188754117,0.0016666666666666668,0.03611111111111111,all distilled,CML
0.23263266854437337,0.0016666666666666668,0.03666666666666667,all distilled,CML
0.2313207563944661,0.0016666666666666668,0.03722222222222222,all distilled,CML
0.22897932355074488,0.0016666666666666668,0.03777777777777778,all distilled,CML
0.22865693820610306,0.0016666666666666668,0.03833333333333333,all distilled,CML
0.22778951365986366,0.0016666666666666668,0.03888888888888889,all distilled,CML
0.2274202736399326,0.0016666666666666668,0.03944444444444444,all distilled,CML
0.22706732819962822,0.0016666666666666668,0.04,all distilled,CML
0.22592863431988094,0.0016666666666666668,0.04055555555555555,all distilled,CML
0.22400445612834155,0.0016666666666666668,0.04111111111111111,all distilled,CML
0.22089321455050126,0.0016666666666666668,0.041666666666666664,all distilled,CML
