label,group,y,value,density,y_top
Qwen14B student,distilled,3,-1.4312741312741313,0,3
Qwen14B student,distilled,3,-1.4233590733590735,0,3
Qwen14B student,distilled,3,-1.4154440154440155,0,3
Qwen14B student,distilled,3,-1.4075289575289576,6.7017148576281495e-18,3
Qwen14B student,distilled,3,-1.3996138996138996,0,3
Qwen14B student,distilled,3,-1.3916988416988418,0,3
Qwen14B student,distilled,3,-1.3837837837837839,0,3
Qwen14B student,distilled,3,-1.3758687258687259,0,3
Qwen14B student,distilled,3,-1.367953667953668,3.341063965683224e-17,3
Qwen14B student,distilled,3,-1.3600386100386102,2.184118397414474e-19,3
Qwen14B student,distilled,3,-1.3521235521235522,1.233382232404565e-18,3
Qwen14B student,distilled,3,-1.3442084942084942,7.504569447460822e-18,3
Qwen14B student,distilled,3,-1.3362934362934364,3.581012966446159e-18,3
Qwen14B student,distilled,3,-1.3283783783783785,1.43111446802781e-17,3
Qwen14B student,distilled,3,-1.3204633204633205,4.060503367781762e-18,3
Qwen14B student,distilled,3,-1.3125482625482627,1.0994319905157339e-17,3
Qwen14B student,distilled,3,-1.3046332046332048,1.125927945844562e-17,3
Qwen14B student,distilled,3,-1.2967181467181468,1.2323416053891732e-19,3
Qwen14B student,distilled,3,-1.2888030888030888,9.030357372062468e-18,3
Qwen14B student,distilled,3,-1.2808880308880308,0,3
Qwen14B student,distilled,3,-1.272972972972973,1.7174285730650698e-17,3
Qwen14B student,distilled,3,-1.265057915057915,1.7639934261445507e-18,3
Qwen14B student,distilled,3,-1.2571428571428571,3.683258806081063e-18,3
Qwen14B student,distilled,3,-1.2492277992277994,0,3
Qwen14B student,distilled,3,-1.2413127413127414,0,3
Qwen14B student,distilled,3,-1.2333976833976834,1.767167376310066e-18,3
Qwen14B student,distilled,3,-1.2254826254826257,0,3
Qwen14B student,distilled,3,-1.2175675675675677,1.2225521511123974e-18,3
Qwen14B student,distilled,3,-1.2096525096525097,1.413204774526908e-17,3
Qwen14B student,distilled,3,-1.201737451737452,6.5739356150488685e-18,3
Qwen14B student,distilled,3,-1.193822393822394,5.444412531824274e-18,3
Qwen14B student,distilled,3,-1.185907335907336,6.419660334695427e-19,3
Qwen14B student,distilled,3,-1.177992277992278,2.4548157643136603e-18,3
Qwen14B student,distilled,3,-1.17007722007722,1.444015993525589e-17,3
Qwen14B student,distilled,3,-1.1621621621621623,0,3
Qwen14B student,distilled,3,-1.1542471042471043,0,3
Qwen14B student,distilled,3,-1.1463320463320463,0,3
Qwen14B student,distilled,3,-1.1384169884169886,1.0636986671025084e-17,3
Qwen14B student,distilled,3,-1.1305019305019306,0,3
Qwen14B student,distilled,3,-1.1225868725868726,0,3
Qwen14B student,distilled,3,-1.1146718146718149,0,3
Qwen14B student,distilled,3,-1.1067567567567569,0,3
Qwen14B student,distilled,3,-1.098841698841699,0,3
Qwen14B student,distilled,3,-1.090926640926641,0,3
Qwen14B student,distilled,3,-1.083011583011583,0,3
Qwen14B student,distilled,3,-1.0750965250965252,0,3
Qwen14B student,distilled,3,-1.0671814671814672,0,3
Qwen14B student,distilled,3,-1.0592664092664092,0,3
Qwen14B student,distilled,3,-1.0513513513513515,5.952750488377622e-17,3
Qwen14B student,distilled,3,-1.0434362934362935,6.94739852301932e-17,3
Qwen14B student,distilled,3,-1.0355212355212355,1.2260210675248374e-16,3
Qwen14B student,distilled,3,-1.0276061776061778,2.881965424178006e-17,3
Qwen14B student,distilled,3,-1.0196911196911198,1.4537258335432688e-16,3
Qwen14B student,distilled,3,-1.0117760617760618,9.82394465172486e-17,3
Qwen14B student,distilled,3,-1.003861003861004,1.0572551516678318e-16,3
Qwen14B student,distilled,3,-0.995945945945946,6.54655869665277e-17,3
Qwen14B student,distilled,3,-0.9880308880308881,1.0289770638947925e-16,3
Qwen14B student,distilled,3,-0.9801158301158301,6.497727998005573e-17,3
Qwen14B student,distilled,3,-0.9722007722007723,5.679804074299173e-17,3
Qwen14B student,distilled,3,-0.9642857142857144,4.355121309058358e-17,3
Qwen14B student,distilled,3,-0.9563706563706564,6.224538494446263e-17,3
Qwen14B student,distilled,3,-0.9484555984555986,4.872055589452254e-17,3
Qwen14B student,distilled,3,-0.9405405405405406,3.894677342850153e-17,3
Qwen14B student,distilled,3,-0.9326254826254827,3.781447951896202e-17,3
Qwen14B student,distilled,3,-0.9247104247104247,2.1110736536324337e-17,3
Qwen14B student,distilled,3,-0.9167953667953669,1.0040501228787408e-17,3
Qwen14B student,distilled,3,-0.908880308880309,4.629375873382037e-18,3
Qwen14B student,distilled,3,-0.900965250965251,3.621074262206248e-18,3
Qwen14B student,distilled,3,-0.8930501930501932,1.805310525425396e-17,3
Qwen14B student,distilled,3,-0.8851351351351352,1.807037358547055e-17,3
Qwen14B student,distilled,3,-0.8772200772200773,2.91202978811889e-17,3
Qwen14B student,distilled,3,-0.8693050193050194,2.661226031527167e-17,3
Qwen14B student,distilled,3,-0.8613899613899615,2.280464862660034e-17,3
Qwen14B student,distilled,3,-0.8534749034749036,3.3129283159009736e-18,3
Qwen14B student,distilled,3,-0.8455598455598456,1.709657603113936e-17,3
Qwen14B student,distilled,3,-0.8376447876447878,0,3
Qwen14B student,distilled,3,-0.8297297297297298,2.4327700403029052e-17,3
Qwen14B student,distilled,3,-0.8218146718146719,0,3
Qwen14B student,distilled,3,-0.813899613899614,5.1214367755469135e-17,3
Qwen14B student,distilled,3,-0.8059845559845561,1.8131066976777355e-17,3
Qwen14B student,distilled,3,-0.7980694980694981,2.14953344355996e-17,3
Qwen14B student,distilled,3,-0.7901544401544403,1.282305300910781e-17,3
Qwen14B student,distilled,3,-0.7822393822393824,2.9302721609680076e-17,3
Qwen14B student,distilled,3,-0.7743243243243244,7.422201771115086e-18,3
Qwen14B student,distilled,3,-0.7664092664092665,2.0813118760427748e-17,3
Qwen14B student,distilled,3,-0.7584942084942086,1.719914059708107e-19,3
Qwen14B student,distilled,3,-0.7505791505791507,0,3
Qwen14B student,distilled,3,-0.7426640926640927,3.2670053190720044e-17,3
Qwen14B student,distilled,3,-0.7347490347490349,1.574212835584279e-17,3
Qwen14B student,distilled,3,-0.7268339768339769,8.191738098890233e-18,3
Qwen14B student,distilled,3,-0.718918918918919,0,3
Qwen14B student,distilled,3,-0.7110038610038611,0,3
Qwen14B student,distilled,3,-0.7030888030888032,0,3
Qwen14B student,distilled,3,-0.6951737451737453,0,3
Qwen14B student,distilled,3,-0.6872586872586873,0,3
Qwen14B student,distilled,3,-0.6793436293436295,0,3
Qwen14B student,distilled,3,-0.6714285714285715,4.6923675587482e-19,3
Qwen14B student,distilled,3,-0.6635135135135136,0,3
Qwen14B student,distilled,3,-0.6555984555984558,4.746683581716671e-19,3
Qwen14B student,distilled,3,-0.6476833976833978,0,3
Qwen14B student,distilled,3,-0.6397683397683399,0,3
Qwen14B student,distilled,3,-0.6318532818532819,0,3
Qwen14B student,distilled,3,-0.6239382239382241,0,3
Qwen14B student,distilled,3,-0.6160231660231661,0,3
Qwen14B student,distilled,3,-0.6081081081081082,5.400968022915578e-18,3
Qwen14B student,distilled,3,-0.6001930501930504,0,3
Qwen14B student,distilled,3,-0.5922779922779924,1.444075974934914e-18,3
Qwen14B student,distilled,3,-0.5843629343629345,0,3
Qwen14B student,distilled,3,-0.5764478764478765,0,3
Qwen14B student,distilled,3,-0.5685328185328187,0,3
Qwen14B student,distilled,3,-0.5606177606177607,2.3835145031632004e-18,3
Qwen14B student,distilled,3,-0.5527027027027028,4.6841574061281956e-17,3
Qwen14B student,distilled,3,-0.544787644787645,3.254613259575514e-17,3
Qwen14B student,distilled,3,-0.536872586872587,7.459119312510835e-17,3
Qwen14B student,distilled,3,-0.528957528957529,5.324185443285038e-17,3
Qwen14B student,distilled,3,-0.5210424710424713,6.628900376110293e-17,3
Qwen14B student,distilled,3,-0.5131274131274133,4.544996680729052e-17,3
Qwen14B student,distilled,3,-0.5052123552123553,5.21417312666229e-17,3
Qwen14B student,distilled,3,-0.4972972972972973,5.005322758210409e-17,3
Qwen14B student,distilled,3,-0.48938223938223957,1.1606940372135063e-17,3
Qwen14B student,distilled,3,-0.4814671814671816,1.8787814318570473e-17,3
Qwen14B student,distilled,3,-0.4735521235521236,1.484480493685988e-17,3
Qwen14B student,distilled,3,-0.46563706563706586,3.416661183573878e-17,3
Qwen14B student,distilled,3,-0.4577220077220079,1.9876957255924983e-17,3
Qwen14B student,distilled,3,-0.4498069498069499,4.646521847440661e-18,3
Qwen14B student,distilled,3,-0.44189189189189193,3.1782365207633114e-19,3
Qwen14B student,distilled,3,-0.4339768339768342,4.6274546485355136e-18,3
Qwen14B student,distilled,3,-0.4260617760617762,0,3
Qwen14B student,distilled,3,-0.4181467181467182,0,3
Qwen14B student,distilled,3,-0.41023166023166024,3.839135445647506e-18,3
Qwen14B student,distilled,3,-0.4023166023166025,1.5601362558455014e-17,3
Qwen14B student,distilled,3,-0.3944015444015445,0,3
Qwen14B student,distilled,3,-0.38648648648648654,0,3
Qwen14B student,distilled,3,-0.3785714285714288,0,3
Qwen14B student,distilled,3,-0.3706563706563708,4.1737896623505046e-18,3
Qwen14B student,distilled,3,-0.3627413127413128,2.878851613940732e-16,3
Qwen14B student,distilled,3,-0.35482625482625485,2.483386046839825e-14,3.000000000000014
Qwen14B student,distilled,3,-0.3469111969111971,2.228780079717664e-12,3.0000000000012927
Qwen14B student,distilled,3,-0.3389961389961391,1.267246712179308e-10,3.0000000000735003
Qwen14B student,distilled,3,-0.33108108108108114,4.5904546374625445e-9,3.0000000026624636
Qwen14B student,distilled,3,-0.3231660231660234,1.0670663950931006e-7,3.000000061889851
Qwen14B student,distilled,3,-0.3152509652509654,1.611428644935579e-6,3.000000934628614
Qwen14B student,distilled,3,-0.30733590733590743,1.6113151144177746e-5,3.0000093456276637
Qwen14B student,distilled,3,-0.29942084942084946,1.0934811005469299e-4,3.000063421903832
Qwen14B student,distilled,3,-0.2915057915057917,5.15348150974148e-4,3.000298901927565
Qwen14B student,distilled,3,-0.2835907335907337,0.0017349399641858425,3.0010062651792277
Qwen14B student,distilled,3,-0.27567567567567575,0.0038816300059803617,3.0022513454034687
Qwen14B student,distilled,3,-0.267760617760618,0.00583929792928834,3.0033867927989872
